text
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Sansevieria. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Sansevieria. [/INST] Temp: 22-26, Humedad suelo: 65-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Ficus elastica. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Ficus elastica. [/INST] Temp: 22-26, Humedad suelo: 70-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Monstera deliciosa. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Monstera deliciosa. [/INST] Temp: 22-26, Humedad suelo: 70-80, Ph: 6.0-6.5, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Epipremnum aureum. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Epipremnum aureum. [/INST] Temp: 22-26, Humedad suelo: 70-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Spathiphyllum. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Spathiphyllum. [/INST] Temp: 22-26, Humedad suelo: 70-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Zamioculca zamiifolia. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Zamioculca zamiifolia. [/INST] Temp: 22-26, Humedad suelo: 70-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Dracaena marginata. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Dracaena marginata. [/INST] Temp: 22-26, Humedad suelo: 70-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Areca. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Areca. [/INST] Temp: 25-30, Humedad suelo: 70-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Kentia. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Kentia. [/INST] Temp: 22-26, Humedad suelo: 70-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Maranta leuconeura. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Maranta leuconeura. [/INST] Temp: 22-26, Humedad suelo: 70-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Calathea. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Calathea. [/INST] Temp: 22-26, Humedad suelo: 70-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Anthurium andraeanum. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Anthurium andraeanum. [/INST] Temp: 22-26, Humedad suelo: 70-80, Ph: 6.2-6.8, Ec: 2.0-2.5, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Aloe vera. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Aloe vera. [/INST] Temp: 25-30, Humedad suelo: 50-65, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Chlorophytum comosum. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Chlorophytum comosum. [/INST] Temp: 22-26, Humedad suelo: 65-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Dieffenbachia. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Dieffenbachia. [/INST] Temp: 22-26, Humedad suelo: 70-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Aglaonema. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Aglaonema. [/INST] Temp: 22-26, Humedad suelo: 70-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Peperomia. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Peperomia. [/INST] Temp: 22-26, Humedad suelo: 70-80, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Cactus variados. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Cactus variados. [/INST] Temp: 25-30, Humedad suelo: 50-65, Ph: 6.5-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
"<s>[INST] Dame los parámetros óptimos para la crecimiento de Suculentas variadas. [/INST] Temp: 20-28, Humedad suelo: 60-75, Ph: 6.0-6.8, Ec: 1.5-2.5, N: 60-100, P: 20-40, K: 30-60 </s>"
"<s>[INST] Dame los parámetros óptimos para la floración de Suculentas variadas. [/INST] Temp: 22-30, Humedad suelo: 50-65, Ph: 6.2-7.0, Ec: 2.0-3.0, N: 80-120, P: 30-50, K: 40-70 </s>"
